URL: /
Timestamp: Thu Oct 06 2022 06:56:34 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 06:56:35 GMT-0700 (Pacific Daylight Time)

URL: /documentation
Timestamp: Thu Oct 06 2022 06:56:46 GMT-0700 (Pacific Daylight Time)

URL: /
Timestamp: Thu Oct 06 2022 08:12:43 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 08:12:43 GMT-0700 (Pacific Daylight Time)

URL: /documentation
Timestamp: Thu Oct 06 2022 08:17:29 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 08:17:30 GMT-0700 (Pacific Daylight Time)

URL: /dmkfk
Timestamp: Thu Oct 06 2022 08:17:39 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 08:17:39 GMT-0700 (Pacific Daylight Time)

::1 - - [19/Oct/2022:18:55:09 +0000] "DELETE /user/Alyssa%20K HTTP/1.1" 500 16
::1 - - [19/Oct/2022:18:55:26 +0000] "POST /user/2/movies/favorites HTTP/1.1" 404 163
::1 - - [19/Oct/2022:18:55:31 +0000] "POST /user/1/movies/favorites HTTP/1.1" 404 163
::1 - - [19/Oct/2022:18:55:44 +0000] "POST /user/1/movies HTTP/1.1" 404 153
::1 - - [20/Oct/2022:16:37:02 +0000] "PUT /user/Alyssa%20K/username HTTP/1.1" 200 48
::1 - - [20/Oct/2022:16:37:10 +0000] "DELETE /user/Alyssa%20K HTTP/1.1" 500 16
::1 - - [20/Oct/2022:16:37:14 +0000] "POST /user/1/movies HTTP/1.1" 404 153
::1 - - [20/Oct/2022:16:37:22 +0000] "POST /user/id/movies HTTP/1.1" 404 154
::1 - - [20/Oct/2022:16:38:48 +0000] "POST /user/id/movies/favorites HTTP/1.1" 200 55
::1 - - [20/Oct/2022:16:39:26 +0000] "DELETE /user/id HTTP/1.1" 500 16
::1 - - [20/Oct/2022:20:47:49 +0000] "GET / HTTP/1.1" 404 139
::1 - - [20/Oct/2022:20:47:56 +0000] "GET /movies HTTP/1.1" 200 277
::1 - - [20/Oct/2022:20:47:56 +0000] "GET /favicon.ico HTTP/1.1" 404 150
::1 - - [20/Oct/2022:20:48:14 +0000] "GET /movies/Shawshank%20Redemption HTTP/1.1" 200 -
::1 - - [20/Oct/2022:20:51:13 +0000] "GET /movies/genre/name HTTP/1.1" 404 156
::1 - - [20/Oct/2022:20:51:25 +0000] "GET /genre/name HTTP/1.1" 200 51
::1 - - [20/Oct/2022:20:51:34 +0000] "GET /director/name HTTP/1.1" 404 152
::1 - - [20/Oct/2022:20:51:41 +0000] "GET /directors/name HTTP/1.1" 200 58
